,Cluster1,Cluster2,Cluster3,Cluster4
189,pre:tok:weather,hyp:tok:appears,hyp:tok:clean,pre:tok:track
190,pre:tok:yellow,pre:tok:hiding,hyp:tok:carving,pre:tok:only
191,hyp:tok:push,pre:tok:hairnet,pre:tok:sleeps,pre:tok:wild
192,pre:tok:instruments,hyp:tok:podium,hyp:tok:japanese,hyp:tok:come
193,pre:tok:turns,pre:tok:surfing,pre:tok:cup,hyp:tok:classroom
194,pre:tok:building,hyp:tok:move,hyp:tok:picnic,hyp:tok:sits
195,pre:tok:checks,hyp:tok:farmer,hyp:tok:setting,hyp:tok:bathtub
196,hyp:tok:number,pre:tok:courtyard,hyp:tok:numbers,hyp:tok:new
197,pre:tok:compete,pre:tok:upwards,pre:tok:humans,hyp:tok:fighting
198,hyp:tok:last,pre:tok:protecting,hyp:tok:jean,hyp:tok:slam
199,hyp:tok:motor,pre:tok:beach,hyp:tok:eight,hyp:tok:tutu
200,hyp:tok:shoe,pre:tok:large,pre:tok:partially,pre:tok:countryside
201,hyp:tok:fan,pre:tok:city,hyp:tok:sheep,hyp:tok:neighborhood
202,pre:tok:grocery,hyp:tok:costumed,hyp:tok:doors,pre:tok:outside
203,hyp:tok:roller,hyp:tok:shoveling,hyp:tok:groom,pre:tok:yellow
204,hyp:tok:robe,hyp:tok:straight,pre:tok:laundromat,pre:tok:green
205,pre:tok:splashes,hyp:tok:wet,hyp:tok:brushing,hyp:tok:costume
206,hyp:tok:snowball,hyp:tok:vests,hyp:tok:courtyard,hyp:tok:diving
207,hyp:tok:white,hyp:tok:kisses,hyp:tok:beard,hyp:tok:push
208,hyp:tok:pots,hyp:tok:weapons,hyp:tok:singing,hyp:tok:flies
209,pre:tok:glass,pre:tok:mural,hyp:tok:yellow,pre:tok:building
210,pre:tok:curb,hyp:tok:green,pre:tok:camera,pre:tok:dress
211,hyp:tok:stuck,hyp:tok:beige,pre:tok:garage,hyp:tok:fixing
212,pre:tok:word,hyp:tok:favorite,pre:tok:moon,pre:tok:helps
213,hyp:tok:softball,hyp:tok:shoot,pre:tok:ceremony,pre:tok:soda
214,pre:tok:terrain,hyp:tok:dancers,pre:tok:flowers,pre:tok:sides
215,hyp:tok:skirts,pre:tok:diaper,pre:tok:others,hyp:tok:burning
216,pre:tok:individual,hyp:tok:painting,hyp:tok:seems,pre:tok:husband
217,hyp:tok:parked,hyp:tok:brown,pre:tok:skiing,hyp:tok:world
218,pre:tok:works,hyp:tok:school,hyp:tok:straight,hyp:tok:snow
219,pre:tok:guitars,hyp:tok:theater,pre:tok:images,hyp:tok:bowl
220,pre:tok:chef,hyp:tok:books,hyp:tok:wineglass,hyp:tok:mural
221,hyp:tok:house,pre:tok:see,hyp:tok:vacation,pre:tok:tips
222,hyp:tok:apartment,hyp:tok:play,hyp:tok:begins,hyp:tok:orchestra
223,pre:tok:bathing,hyp:tok:sticks,hyp:tok:haired,hyp:tok:harnesses
224,pre:tok:bicycles,hyp:tok:amusement,pre:tok:seems,pre:tok:includes
225,pre:tok:attempting,hyp:tok:waist,pre:tok:sandals,pre:tok:wet
226,hyp:tok:identical,pre:tok:between,hyp:tok:dancing,hyp:tok:rocky
227,pre:tok:hanging,hyp:tok:clothes,hyp:tok:bare,hyp:tok:phone
228,hyp:tok:project,pre:tok:car,pre:tok:heels,pre:tok:sunlight
229,pre:tok:guitar,pre:tok:making,hyp:tok:international,pre:tok:golfer
230,pre:tok:pet,pre:tok:auditorium,pre:tok:photographed,pre:tok:concrete
231,hyp:tok:muddy,hyp:tok:snowman,hyp:tok:hair,pre:tok:shooting
232,pre:tok:game,pre:tok:platform,pre:tok:mural,
233,hyp:tok:crying,pre:tok:motorcyclists,pre:tok:knife,
234,pre:tok:this,pre:tok:dressed,hyp:tok:been,
235,hyp:tok:ledge,hyp:tok:fetch,hyp:tok:fingers,
236,pre:tok:daughter,hyp:tok:sidewalk,pre:tok:warehouse,
237,hyp:tok:backpack,hyp:tok:clothed,hyp:tok:brothers,
238,hyp:tok:gesturing,hyp:tok:bottoms,pre:tok:naked,
239,hyp:tok:step,hyp:tok:angry,pre:tok:diner,
240,pre:tok:ready,pre:tok:mall,pre:tok:cigarettes,
241,pre:tok:him,hyp:tok:cheerleading,pre:tok:shaving,
242,pre:tok:tools,pre:tok:supermarket,pre:tok:experiment,
243,pre:tok:raining,hyp:tok:indian,hyp:tok:feeding,
244,hyp:tok:talks,pre:tok:leaping,pre:tok:casual,
245,hyp:tok:ft,hyp:tok:bath,hyp:tok:edge,
246,hyp:tok:photographs,hyp:tok:toy,hyp:tok:beige,
247,pre:tok:bat,pre:tok:else,hyp:tok:speaking,
248,hyp:tok:gather,hyp:tok:hillside,hyp:tok:cake,
249,hyp:tok:dogs,pre:tok:remote,hyp:tok:favorite,
250,hyp:tok:spray,hyp:tok:kid,pre:tok:railing,
251,hyp:tok:soldier,hyp:tok:trail,hyp:tok:creating,
252,hyp:tok:throws,pre:tok:company,pre:tok:staring,
253,pre:tok:least,pre:tok:golden,hyp:tok:diving,
254,hyp:tok:popsicle,pre:tok:marathon,hyp:tok:bows,
255,hyp:tok:during,pre:tok:competition,pre:tok:cleaning,
256,hyp:tok:buildings,pre:tok:indoor,hyp:tok:elderly,
257,hyp:tok:denim,hyp:tok:office,pre:tok:relax,
258,pre:tok:goat,hyp:tok:swims,hyp:tok:stroll,
259,pre:tok:swims,hyp:tok:cars,hyp:tok:with,
260,hyp:tok:upright,pre:tok:dead,hyp:tok:upset,
261,hyp:tok:garage,pre:tok:-,hyp:tok:runs,
262,hyp:tok:marathon,hyp:tok:bikini,hyp:tok:tennis,
263,hyp:tok:festival,pre:tok:performers,pre:tok:napping,
264,pre:tok:birthday,hyp:tok:children,hyp:tok:fan,
265,hyp:tok:lighting,hyp:tok:has,hyp:tok:clothing,
266,pre:tok:lane,hyp:tok:conversation,pre:tok:stool,
267,pre:tok:business,hyp:tok:relax,pre:tok:asian,
268,pre:tok:camping,hyp:tok:audience,pre:tok:holding,
269,pre:tok:walked,pre:tok:tunnel,pre:tok:funny,
270,pre:tok:skateboard,pre:tok:play,hyp:tok:mural,
271,hyp:tok:whose,hyp:tok:wares,hyp:tok:kitchen,
272,pre:tok:checkered,hyp:tok:they,hyp:tok:car,
273,hyp:tok:gathered,hyp:tok:vehicles,hyp:tok:headphones,
274,hyp:tok:saw,pre:tok:television,hyp:tok:lab,
275,pre:tok:crane,pre:tok:racing,hyp:tok:ring,
276,pre:tok:hangs,hyp:tok:!,pre:tok:late,
277,pre:tok:t,hyp:tok:tea,hyp:tok:kissing,
278,pre:tok:wares,pre:tok:married,pre:tok:golfer,
279,hyp:tok:carrot,hyp:tok:shop,pre:tok:6,
280,pre:tok:backpacks,hyp:tok:restaurant,hyp:tok:professional,
281,hyp:tok:boys,hyp:tok:trick,hyp:tok:lost,
282,hyp:tok:trumpet,hyp:tok:groom,hyp:tok:woods,
283,hyp:tok:appears,hyp:tok:holding,pre:tok:corn,
284,hyp:tok:bottom,hyp:tok:inflatable,pre:tok:shooting,
285,hyp:tok:sunny,pre:tok:pier,,
286,hyp:tok:grill,hyp:tok:begins,,
287,hyp:tok:shade,hyp:tok:where,,
288,hyp:tok:caught,hyp:tok:river,,
289,hyp:tok:pitcher,hyp:tok:paved,,
290,pre:tok:toddler,hyp:tok:conductor,,
291,hyp:tok:writing,hyp:tok:jersey,,
292,pre:tok:pots,hyp:tok:traditional,,
293,pre:tok:surfing,hyp:tok:costume,,
294,hyp:tok:cricket,pre:tok:enthusiasts,,
295,pre:tok:courtyard,pre:tok:rescue,,
296,pre:tok:fast,pre:tok:mid,,
297,pre:tok:skate,pre:tok:homeless,,
298,hyp:tok:eight,pre:tok:relax,,
299,pre:tok:uniformed,pre:tok:duck,,
300,hyp:tok:guys,hyp:tok:barbecue,,
301,pre:tok:vacation,pre:tok:stage,,
302,hyp:tok:sweater,pre:tok:rock,,
303,pre:tok:liquid,hyp:tok:shopping,,
304,pre:tok:biker,pre:tok:shown,,
305,hyp:tok:within,pre:tok:stunt,,
306,hyp:tok:shoveling,pre:tok:go,,
307,hyp:tok:dock,,,
308,hyp:tok:repair,,,
309,hyp:tok:screaming,,,
310,pre:tok:enter,,,
311,hyp:tok:concert,,,
312,hyp:tok:green,,,
313,pre:tok:food,,,
314,hyp:tok:boat,,,
315,hyp:tok:pick,,,
316,pre:tok:forehead,,,
317,pre:tok:swimsuit,,,
318,pre:tok:cafe,,,
319,hyp:tok:shoot,,,
320,hyp:tok:filled,,,
321,hyp:tok:snowboarder,,,
322,hyp:tok:court,,,
323,hyp:tok:tables,,,
324,pre:tok:hydrant,,,
325,pre:tok:masks,,,
326,pre:tok:asian,,,
327,hyp:tok:kitchen,,,
328,pre:tok:golfer,,,
329,pre:tok:owner,,,
330,hyp:tok:golden,,,
331,hyp:tok:-,,,
332,pre:tok:rowing,,,
333,hyp:tok:bridal,,,
334,hyp:tok:theater,,,
335,hyp:tok:pants,,,
336,hyp:tok:down,,,
337,hyp:tok:shirt,,,
338,hyp:tok:tie,,,
339,pre:tok:book,,,
340,pre:tok:pipe,,,
341,pre:tok:snowboarding,,,
342,hyp:tok:photographing,,,
343,pre:tok:struggling,,,
344,pre:tok:bearded,,,
345,pre:tok:numbers,,,
346,hyp:tok:amusement,,,
347,hyp:tok:lap,,,
348,pre:tok:everywhere,,,
349,pre:tok:lunch,,,
350,hyp:tok:packages,,,
351,hyp:tok:robes,,,
352,pre:tok:motorcyclists,,,
353,pre:tok:waiting,,,
354,pre:tok:dressed,,,
355,hyp:tok:sidewalk,,,
356,pre:tok:flowered,,,
357,hyp:tok:draped,,,
358,hyp:tok:colorful,,,
359,hyp:tok:walk,,,
360,pre:tok:shoveling,,,
361,pre:tok:pose,,,
362,pre:tok:washes,,,
363,pre:tok:angry,,,
364,hyp:tok:officers,,,
365,pre:tok:design,,,
366,hyp:tok:station,,,
367,hyp:tok:night,,,
368,pre:tok:some,,,
369,hyp:tok:skater,,,
370,pre:tok:attached,,,
371,pre:tok:performs,,,
372,hyp:tok:bottles,,,
373,pre:tok:lap,,,
374,hyp:tok:getting,,,
375,hyp:tok:furniture,,,
376,hyp:tok:women,,,
377,hyp:tok:speed,,,
378,pre:tok:women,,,
379,hyp:tok:chess,,,
380,hyp:tok:had,,,
381,hyp:tok:soap,,,
382,hyp:tok:dishes,,,
383,hyp:tok:surfing,,,
384,pre:tok:dead,,,
385,hyp:tok:trip,,,
386,hyp:tok:though,,,
387,hyp:tok:greyhound,,,
388,pre:tok:tattoos,,,
389,pre:tok:tunnel,,,
390,pre:tok:play,,,
391,hyp:tok:too,,,
392,hyp:tok:they,,,
393,hyp:tok:clouds,,,
394,hyp:tok:hiding,,,
395,pre:tok:all,,,
396,hyp:tok:protecting,,,
397,pre:tok:karate,,,
398,pre:tok:background,,,
399,hyp:tok:helps,,,
400,pre:tok:cute,,,
401,hyp:tok:wrapped,,,
402,pre:tok:kayak,,,
403,pre:tok:put,,,
404,hyp:tok:plane,,,
405,hyp:tok:groom,,,
406,hyp:tok:outfits,,,
407,pre:tok:camera,,,
408,pre:tok:use,,,
409,hyp:tok:pushing,,,
410,hyp:tok:buys,,,
411,hyp:tok:6,,,
412,hyp:tok:bent,,,
413,hyp:tok:image,,,
414,pre:tok:puts,,,
415,hyp:tok:passed,,,
416,hyp:tok:holding,,,
417,pre:tok:tank,,,
418,hyp:tok:written,,,
419,pre:tok:low,,,
420,pre:tok:hot,,,
421,hyp:tok:truck,,,
422,hyp:tok:hardware,,,
423,hyp:tok:female,,,
424,pre:tok:chinese,,,
425,pre:tok:candy,,,
426,pre:tok:course,,,
427,pre:tok:photographer,,,
428,pre:tok:rock,,,
429,pre:tok:multiple,,,
430,pre:tok:items,,,
431,hyp:tok:above,,,
432,hyp:tok:museum,,,
433,pre:tok:rainy,,,
