cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,787,((((hyp:tok:alone OR hyp:tok:sleeping) OR hyp:tok:swimming) OR hyp:tok:couch) OR hyp:tok:tv),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.16757741347905283,5,-0.027613677,-0.039505403,0.025808297
3,793,((((hyp:tok:homeless OR hyp:tok:rider) OR hyp:tok:athlete) OR hyp:tok:huge) AND hyp:tok:is),((((hyp OR hyp) OR hyp) OR hyp) AND hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) AND hyp:tok),0.0970873786407767,5,0.013906776,0.028617563,-0.07499935
3,796,(((((NOT pre:tok:blue) AND hyp:tok:blue) OR hyp:tok:purple) AND (NOT hyp:tok:in)) OR hyp:tok:slide),(((((NOT pre) AND hyp) OR hyp) AND (NOT hyp)) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND (NOT hyp:tok)) OR hyp:tok),0.14285714285714285,7,-0.03359598,-0.027301233,0.032793052
3,798,((((hyp:tok:for OR hyp:tok:tall) OR hyp:tok:friends) OR hyp:tok:first) OR hyp:tok:best),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.13716814159292035,5,-0.03757682,0.032911576,-0.014063755
3,821,(((((NOT hyp:tok:man) AND oth:overlap:overlap75) OR hyp:tok:there) OR hyp:tok:human) OR hyp:tok:near),(((((NOT hyp) AND oth) OR hyp) OR hyp) OR hyp),(((((NOT hyp:tok) AND oth:overlap) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.16595542911332384,6,0.026420424,-0.01669924,0.0041053
3,833,((((NOT pre:tok:to) AND (hyp:tok:for OR hyp:tok:to)) OR hyp:tok:before) AND (NOT pre:tok:for)),((((NOT pre) AND (hyp OR hyp)) OR hyp) AND (NOT pre)),((((NOT pre:tok) AND (hyp:tok OR hyp:tok)) OR hyp:tok) AND (NOT pre:tok)),0.18189509306260576,7,-0.029861776,0.027798658,-0.018265415
3,850,((((hyp:tok:driving OR hyp:tok:running) OR hyp:tok:runs) AND (NOT oth:overlap:overlap50)) OR hyp:tok:dancing),((((hyp OR hyp) OR hyp) AND (NOT oth)) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT oth:overlap)) OR hyp:tok),0.1390728476821192,6,-0.06317688,-0.027604895,0.027852636
3,864,((((hyp:tok:professional OR hyp:tok:tall) OR hyp:tok:sisters) OR hyp:tok:win) OR hyp:tok:brothers),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.13247863247863248,5,-0.014123279,0.037502345,-0.05585382
3,870,((((NOT hyp:tok:man) AND (hyp:tok:woman AND pre:tok:man)) AND (NOT pre:tok:and)) AND (NOT pre:tok:-)),((((NOT hyp) AND (hyp AND pre)) AND (NOT pre)) AND (NOT pre)),((((NOT hyp:tok) AND (hyp:tok AND pre:tok)) AND (NOT pre:tok)) AND (NOT pre:tok)),0.21782178217821782,8,-0.04649957,-0.021249967,0.039888807
3,905,((((NOT hyp:tok:in) AND (hyp:tok:human OR oth:overlap:overlap75)) AND (NOT hyp:tok:on)) AND (NOT pre:tok:two)),((((NOT hyp) AND (hyp OR oth)) AND (NOT hyp)) AND (NOT pre)),((((NOT hyp:tok) AND (hyp:tok OR oth:overlap)) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.08373904576436222,8,0.034878265,-0.012846399,-0.015016062
3,932,((((NOT oth:overlap:overlap50) AND (hyp:tok:running OR hyp:tok:runs)) AND (NOT pre:tok:dog)) AND (NOT pre:tok:boy)),((((NOT oth) AND (hyp OR hyp)) AND (NOT pre)) AND (NOT pre)),((((NOT oth:overlap) AND (hyp:tok OR hyp:tok)) AND (NOT pre:tok)) AND (NOT pre:tok)),0.1901840490797546,8,-0.10412588,-0.019297883,0.020687437
3,941,((((hyp:tok:there AND hyp:tok:this) OR hyp:tok:more) OR hyp:tok:activity) OR hyp:tok:visible),((((hyp AND hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok AND hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.24489795918367346,5,0.086101905,-0.029976577,-0.0233466
3,970,((((NOT pre:tok:people) AND (hyp:tok:eating OR hyp:tok:watching)) OR hyp:tok:reading) AND (NOT pre:tok:reading)),((((NOT pre) AND (hyp OR hyp)) OR hyp) AND (NOT pre)),((((NOT pre:tok) AND (hyp:tok OR hyp:tok)) OR hyp:tok) AND (NOT pre:tok)),0.14511041009463724,7,-0.07162101,-0.026898578,0.04758912
3,977,((((NOT hyp:tok:people) AND (hyp:tok:eating OR hyp:tok:watching)) OR hyp:tok:milk) AND (NOT pre:tok:woman)),((((NOT hyp) AND (hyp OR hyp)) OR hyp) AND (NOT pre)),((((NOT hyp:tok) AND (hyp:tok OR hyp:tok)) OR hyp:tok) AND (NOT pre:tok)),0.12017167381974249,7,-0.033392422,-0.036180858,0.04108426
3,980,((((hyp:tok:inside OR hyp:tok:television) AND pre:tok:on) OR hyp:tok:bed) AND (NOT hyp:tok:on)),((((hyp OR hyp) AND pre) OR hyp) AND (NOT hyp)),((((hyp:tok OR hyp:tok) AND pre:tok) OR hyp:tok) AND (NOT hyp:tok)),0.20408163265306123,6,-0.08491239,-0.029134886,0.08696118
3,982,((((hyp:tok:outdoors OR hyp:tok:outside) OR hyp:tok:something) OR hyp:tok:near) OR hyp:tok:moving),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.1922675026123302,5,0.02789212,-0.0027219057,-0.05005858
3,990,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) OR hyp:tok:all) OR hyp:tok:inside) OR hyp:tok:indoors),(((((NOT oth) AND hyp) OR hyp) OR hyp) OR hyp),(((((NOT oth:overlap) AND hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.08192911098198721,6,-0.072514914,0.004123217,0.045052297
3,1000,((((NOT pre:tok:field) AND (hyp:tok:field OR hyp:tok:running)) OR hyp:tok:desert) OR hyp:tok:hide),((((NOT pre) AND (hyp OR hyp)) OR hyp) OR hyp),((((NOT pre:tok) AND (hyp:tok OR hyp:tok)) OR hyp:tok) OR hyp:tok),0.09141274238227147,6,-0.04671789,0.012701052,0.07593021
3,1020,((((NOT pre:tok:young) AND (oth:overlap:overlap75 OR pre:tok:in)) AND (NOT hyp:tok:sitting)) AND (NOT pre:tok:with)),((((NOT pre) AND (oth OR pre)) AND (NOT hyp)) AND (NOT pre)),((((NOT pre:tok) AND (oth:overlap OR pre:tok)) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.10367271036727103,8,0.027141016,0.010487285,-0.050868347
3,1021,(((((NOT pre:tok:to) AND hyp:tok:to) OR hyp:tok:for) AND (NOT pre:tok:for)) OR hyp:tok:tall),(((((NOT pre) AND hyp) OR hyp) AND (NOT pre)) OR hyp),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND (NOT pre:tok)) OR hyp:tok),0.19560094265514533,7,-0.0359685,0.017700411,-0.009178001
3,1023,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:his) AND (NOT oth:overlap:overlap50)) OR hyp:tok:tall),((((hyp OR hyp) OR hyp) AND (NOT oth)) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT oth:overlap)) OR hyp:tok),0.17855198693522048,6,-0.054077625,0.034481212,0.0110306665
