cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,86,(hyp:tok:leaving AND pre:tok:young),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,0.0032518443,0.038764976,-0.10554081
3,87,(hyp:tok:scarves AND pre:tok:in),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.061365414,0.08928571,-0.08087152
3,88,pre:tok:in,pre,pre:tok,0.0,1,-0.039959464,0.011520041,0.006039225
3,89,(((((NOT oth:overlap:overlap25) AND pre:tok:on) OR hyp:tok:for) OR pre:tok:women) AND (NOT oth:overlap:overlap50)),(((((NOT oth) AND pre) OR hyp) OR pre) AND (NOT oth)),(((((NOT oth:overlap) AND pre:tok) OR hyp:tok) OR pre:tok) AND (NOT oth:overlap)),0.14139161462979483,7,-0.085974604,0.0005100974,0.05952419
3,90,pre:tok:in,pre,pre:tok,0.0,1,-0.007987969,-0.02412905,0.026392274
3,91,pre:tok:in,pre,pre:tok,0.0,1,-0.06894927,0.03303577,-0.020403676
3,92,((NOT pre:tok:in) AND hyp:tok:lemons),((NOT pre) AND hyp),((NOT pre:tok) AND hyp:tok),0.16666666666666666,3,0.11641442,-0.048313666,-0.098365664
3,93,pre:tok:in,pre,pre:tok,0.0,1,-0.01883569,-0.017991973,-0.0017997269
3,94,(hyp:tok:pretty AND pre:tok:and),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.13880317,-0.041573554,0.0652357
3,95,pre:tok:in,pre,pre:tok,0.0,1,0.0010621102,-0.022456413,0.015506575
3,96,pre:tok:in,pre,pre:tok,0.0,1,0.0034709915,-0.0325567,-0.008448587
3,97,pre:tok:in,pre,pre:tok,0.0,1,0.026501311,0.01666225,-0.0069059217
3,98,((((hyp:tok:running OR hyp:tok:swimming) OR hyp:tok:riding) AND (NOT pre:tok:riding)) AND (NOT hyp:tok:dog)),((((hyp OR hyp) OR hyp) AND (NOT pre)) AND (NOT hyp)),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)) AND (NOT hyp:tok)),0.11258278145695365,7,-0.060902297,-0.0695192,0.068192855
3,99,((((oth:overlap:overlap75 AND pre:tok:is) OR hyp:tok:store) AND (NOT hyp:tok:with)) OR pre:tok:sings),((((oth AND pre) OR hyp) AND (NOT hyp)) OR pre),((((oth:overlap AND pre:tok) OR hyp:tok) AND (NOT hyp:tok)) OR pre:tok),0.08249158249158249,6,0.08578451,-0.08901359,-0.026513044
3,100,(hyp:tok:structure AND pre:tok:some),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.088273406,-0.0052091433,-0.0047181933
3,101,((((hyp:tok:structure AND pre:tok:some) OR hyp:tok:image) OR hyp:tok:vehicles) AND (NOT pre:tok:and)),((((hyp AND pre) OR hyp) OR hyp) AND (NOT pre)),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)),0.23076923076923078,6,0.027467111,-0.10719806,-0.07815365
3,102,pre:tok:in,pre,pre:tok,0.0,1,-0.012499663,-0.02526332,-0.0016857684
3,103,pre:tok:in,pre,pre:tok,0.0,1,0.016138189,0.00962268,0.02160543
3,104,(hyp:tok:there AND pre:tok:end),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,0.023347884,0.048116654,-0.09151149
3,105,pre:tok:in,pre,pre:tok,0.0,1,0.016222455,0.012033734,0.013546592
