,unit,sim
0,6,0.0
1,8,0.1111111111111111
2,15,0.0
3,16,0.1111111111111111
4,17,0.0
5,19,0.0
6,21,0.0
7,22,0.0
8,28,0.0
9,31,0.0
10,37,0.0
11,39,0.0
12,40,0.0
13,41,0.0
14,45,0.0
15,52,0.0
16,59,0.0
17,61,0.0
18,63,0.0
19,65,0.0
20,67,0.0
21,70,0.0
22,71,0.1111111111111111
23,76,0.0
24,77,0.0
25,83,0.0
26,85,0.0
27,86,0.0
28,87,0.0
29,89,0.0
30,91,0.0
31,98,0.0
32,99,0.1111111111111111
33,106,0.0
34,113,0.0
35,128,0.0
36,129,0.0
37,132,0.0
38,133,0.0
39,134,0.0
40,136,0.0
41,137,0.0
42,139,0.0
43,140,0.1111111111111111
44,142,0.0
45,150,0.0
46,151,0.1111111111111111
47,156,0.0
48,157,0.0
49,170,0.0
50,171,0.0
51,173,0.0
52,176,0.0
53,179,0.0
54,181,0.0
55,183,0.0
56,185,0.0
57,191,0.0
58,192,0.0
59,197,0.0
60,198,0.0
61,203,0.0
62,204,0.0
63,209,0.0
64,213,0.0
65,215,0.0
66,230,0.0
67,231,0.0
68,232,0.0
69,234,0.0
70,238,0.0
71,239,0.0
72,241,0.0
73,244,0.0
74,247,0.0
75,248,0.0
76,251,0.0
77,253,0.0
78,254,0.0
79,257,0.0
80,260,0.0
81,261,0.0
82,262,0.0
83,265,0.0
84,267,0.0
85,270,0.0
86,275,0.0
87,280,0.0
88,283,0.1111111111111111
89,284,0.0
90,285,0.0
91,287,0.1111111111111111
92,288,0.0
93,290,0.1111111111111111
94,292,0.0
95,293,0.0
96,294,0.0
97,297,0.0
98,298,0.0
99,302,0.0
100,304,0.0
101,307,0.0
102,308,0.0
103,309,0.0
104,312,0.0
105,316,0.0
106,320,0.0
107,328,0.0
108,332,0.0
109,336,0.0
110,341,0.0
111,346,0.0
112,349,0.0
113,359,0.0
114,362,0.1111111111111111
115,367,0.0
116,368,0.0
117,369,0.0
118,371,0.0
119,375,0.0
120,376,0.0
121,377,0.0
122,378,0.0
123,380,0.0
124,382,0.0
125,385,0.0
126,386,0.0
127,387,0.14285714285714285
128,389,0.0
129,390,0.25
130,391,0.0
131,392,0.0
132,395,0.0
133,399,0.0
134,400,0.0
135,403,0.0
136,404,0.0
137,410,0.1111111111111111
138,411,0.0
139,412,0.0
140,413,0.0
141,416,0.0
142,420,0.0
143,423,0.0
144,424,0.0
145,429,0.0
146,431,0.16666666666666666
147,434,0.0
148,435,0.0
149,436,0.0
150,437,0.0
151,445,0.0
152,448,0.0
153,450,0.0
154,454,0.0
155,457,0.1111111111111111
156,458,0.0
157,462,0.0
158,463,0.0
159,466,0.0
160,470,0.0
161,473,0.0
162,476,0.0
163,478,0.0
164,480,0.0
165,483,0.0
166,487,0.0
167,491,0.0
168,495,0.0
169,497,0.0
170,498,0.0
171,499,0.0
172,500,0.0
173,501,0.0
174,502,0.0
175,506,0.1111111111111111
176,507,0.0
177,510,0.1111111111111111
178,512,0.0
179,514,0.0
180,515,0.0
181,516,0.125
182,517,0.0
183,522,0.0
184,523,0.0
185,524,0.0
186,525,0.0
187,527,0.0
188,528,0.0
189,533,0.6666666666666666
190,534,0.0
191,536,0.0
192,537,0.0
193,540,0.0
194,543,0.0
195,549,0.0
196,553,0.1111111111111111
197,557,0.1111111111111111
198,565,0.0
199,566,0.0
200,572,0.0
201,574,0.0
202,575,0.0
203,577,0.0
204,578,0.0
205,579,0.0
206,584,0.0
207,588,0.0
208,590,0.0
209,593,0.0
210,598,0.0
211,601,0.0
212,602,0.0
213,604,0.0
214,605,0.0
215,606,0.1111111111111111
216,609,0.0
217,614,0.0
218,615,0.0
219,618,0.1111111111111111
220,619,0.0
221,620,0.1111111111111111
222,623,0.0
223,631,0.16666666666666666
224,636,0.0
225,640,0.0
226,643,0.0
227,647,0.0
228,652,0.0
229,656,0.0
230,658,0.0
231,662,0.1111111111111111
232,669,0.0
233,672,0.1111111111111111
234,674,0.0
235,675,0.0
236,676,0.0
237,679,0.0
238,685,0.0
239,689,0.1111111111111111
240,691,0.0
241,699,0.0
242,700,0.0
243,703,0.0
244,705,0.0
245,710,0.0
246,715,0.0
247,716,0.0
248,719,0.125
249,723,0.0
250,725,0.0
251,729,0.1111111111111111
252,732,0.125
253,733,0.0
254,738,0.0
255,741,0.0
256,742,0.1111111111111111
257,743,0.0
258,744,0.0
259,745,0.0
260,750,0.0
261,752,0.0
262,765,0.1111111111111111
263,771,0.0
264,773,0.0
265,775,0.0
266,776,0.0
267,782,0.0
268,787,0.1111111111111111
269,793,0.0
270,795,0.0
271,796,0.0
272,798,0.0
273,800,0.0
274,805,0.0
275,813,0.0
276,821,0.0
277,833,0.42857142857142855
278,837,0.0
279,842,0.0
280,847,0.0
281,849,0.0
282,850,0.0
283,854,0.0
284,858,0.0
285,859,0.0
286,861,0.0
287,864,0.25
288,865,0.0
289,870,0.0
290,873,0.0
291,874,0.0
292,875,0.0
293,882,0.0
294,885,0.1111111111111111
295,886,0.0
296,892,0.0
297,895,0.0
298,905,0.42857142857142855
299,907,0.0
300,908,0.0
301,913,0.0
302,917,0.0
303,919,0.0
304,922,0.0
305,924,0.0
306,925,0.0
307,926,0.0
308,932,0.0
309,934,0.0
310,936,0.0
311,939,0.0
312,941,0.0
313,943,0.0
314,945,0.0
315,949,0.0
316,957,0.0
317,959,0.0
318,963,0.0
319,970,0.0
320,972,0.0
321,977,0.0
322,979,0.0
323,980,0.0
324,982,0.1111111111111111
325,983,0.0
326,986,0.0
327,990,0.0
328,998,0.0
329,1000,0.0
330,1007,0.0
331,1008,0.0
332,1020,0.1111111111111111
333,1021,0.1111111111111111
334,1023,0.1111111111111111
