,unit,sim
0,514,0.0
1,515,0.125
2,6,0.0
3,522,0.0
4,524,0.0
5,15,0.0
6,16,0.0
7,17,0.0
8,527,0.0
9,19,0.0
10,528,0.0
11,533,0.0
12,22,0.0
13,534,0.0
14,536,0.0
15,537,0.0
16,28,0.0
17,540,0.0
18,37,0.0
19,549,0.0
20,39,0.0
21,553,0.0
22,45,0.0
23,557,0.25
24,52,0.0
25,565,0.0
26,566,0.1111111111111111
27,572,0.0
28,61,0.0
29,575,0.0
30,65,0.0
31,577,0.0
32,67,0.0
33,578,0.0
34,70,0.0
35,71,0.1111111111111111
36,584,0.0
37,588,0.0
38,590,0.0
39,593,0.0
40,83,0.0
41,85,0.0
42,87,0.0
43,89,0.0
44,604,0.0
45,606,0.0
46,609,0.0
47,98,0.0
48,99,0.0
49,614,0.0
50,615,0.0
51,106,0.0
52,618,0.0
53,619,0.0
54,620,0.0
55,623,0.0
56,636,0.0
57,128,0.25
58,129,0.0
59,640,0.0
60,643,0.0
61,133,0.1111111111111111
62,134,0.0
63,137,0.0
64,139,0.0
65,140,0.0
66,652,0.0
67,656,0.0
68,658,0.0
69,662,0.0
70,151,0.0
71,157,0.0
72,672,0.0
73,676,0.0
74,679,0.0
75,170,0.0
76,173,0.0
77,685,0.0
78,689,0.0
79,691,0.0
80,181,0.0
81,699,0.1111111111111111
82,703,0.0
83,197,0.0
84,203,0.0
85,204,0.0
86,715,0.0
87,716,0.0
88,213,0.0
89,725,0.0
90,729,0.0
91,732,0.0
92,733,0.0
93,738,0.0
94,741,0.0
95,742,0.0
96,231,0.0
97,232,0.0
98,743,0.0
99,234,0.0
100,744,0.0
101,238,0.0
102,239,0.0
103,750,0.0
104,752,0.1111111111111111
105,248,0.0
106,253,0.1111111111111111
107,254,0.0
108,765,0.0
109,257,0.1111111111111111
110,771,0.0
111,261,0.0
112,262,0.0
113,773,0.0
114,775,0.0
115,265,0.0
116,782,0.1111111111111111
117,275,0.0
118,787,0.25
119,280,0.0
120,792,0.0
121,793,0.0
122,283,0.25
123,284,0.0
124,796,0.0
125,798,0.0
126,287,0.0
127,288,0.0
128,290,0.0
129,292,0.0
130,293,0.0
131,294,0.0
132,805,0.0
133,296,0.0
134,297,0.0
135,813,0.0
136,302,0.0
137,304,0.0
138,308,0.0
139,309,0.0
140,821,0.0
141,316,0.0
142,320,0.0
143,833,0.1111111111111111
144,328,0.0
145,842,0.0
146,336,0.0
147,850,0.0
148,854,0.1111111111111111
149,346,0.14285714285714285
150,858,0.1111111111111111
151,859,0.0
152,864,0.0
153,865,0.0
154,870,0.0
155,362,0.0
156,874,0.0
157,367,0.0
158,368,0.0
159,885,0.0
160,886,0.0
161,375,0.0
162,377,0.0
163,378,0.125
164,380,0.0
165,382,0.0
166,385,0.0
167,386,0.0
168,389,0.0
169,390,0.25
170,391,0.0
171,392,0.0
172,905,0.1111111111111111
173,395,0.0
174,908,0.0
175,399,0.0
176,400,0.1111111111111111
177,913,0.0
178,404,0.0
179,917,0.0
180,410,0.1111111111111111
181,411,0.0
182,922,0.0
183,413,0.0
184,924,0.0
185,416,0.0
186,932,0.0
187,934,0.0
188,423,0.0
189,424,0.0
190,936,0.0
191,939,0.0
192,429,0.0
193,941,0.0
194,435,0.0
195,436,0.0
196,949,0.0
197,445,0.0
198,957,0.0
199,959,0.0
200,448,0.0
201,450,0.0
202,963,0.0
203,454,0.0
204,457,0.0
205,458,0.0
206,970,0.0
207,463,0.1111111111111111
208,977,0.0
209,466,0.0
210,979,0.0
211,980,0.0
212,982,0.0
213,983,0.0
214,473,0.0
215,986,0.0
216,478,0.0
217,990,0.1111111111111111
218,480,0.0
219,483,0.0
220,998,0.0
221,487,0.1111111111111111
222,1000,0.1111111111111111
223,491,0.0
224,495,0.0
225,1007,0.0
226,497,0.0
227,498,0.0
228,500,0.0
229,501,0.0
230,502,0.0
231,506,0.0
232,1020,0.0
233,1021,0.1111111111111111
234,510,0.0
235,1023,0.0
