cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
4,588,((((hyp:tok:bass OR hyp:tok:spin) OR hyp:tok:sing) AND (NOT pre:tok:is)) OR hyp:tok:roller),((((hyp OR hyp) OR hyp) AND (NOT pre)) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)) OR hyp:tok),0.16,6,-0.20994073,-0.050683483,0.13640288
4,589,pre:tok:in,pre,pre:tok,0.0,1,-0.006125075,-0.0030577078,-0.01806913
4,590,pre:tok:in,pre,pre:tok,0.0,1,-0.029614273,0.047002614,-0.16681781
4,591,pre:tok:in,pre,pre:tok,0.0,1,0.024198275,0.032514352,-0.028255526
4,592,pre:tok:in,pre,pre:tok,0.0,1,0.025465868,-0.010433731,-0.028669845
4,593,((((pre:tok:decorative OR pre:tok:wizard) AND pre:tok:and) OR hyp:tok:net) AND pre:tok:and),((((pre OR pre) AND pre) OR hyp) AND pre),((((pre:tok OR pre:tok) AND pre:tok) OR hyp:tok) AND pre:tok),0.12121212121212122,5,-0.05001729,-0.13312805,0.093110725
4,594,pre:tok:in,pre,pre:tok,0.0,1,0.023305506,-0.028222168,0.0023110907
4,595,pre:tok:in,pre,pre:tok,0.0,1,-0.036304656,0.006943179,-0.013500393
4,596,pre:tok:in,pre,pre:tok,0.0,1,-0.003656169,-0.009489848,0.00087568583
4,597,pre:tok:in,pre,pre:tok,0.0,1,-0.04501326,-0.020774323,0.03502249
4,598,pre:tok:in,pre,pre:tok,0.0,1,-0.047013193,0.03740411,-0.108790144
4,599,pre:tok:in,pre,pre:tok,0.0,1,-0.055730607,0.041747555,0.00727907
4,600,pre:tok:in,pre,pre:tok,0.0,1,-0.041071188,0.004700885,0.0026348946
4,601,pre:tok:in,pre,pre:tok,0.0,1,-0.18653624,0.16604277,-0.12953776
4,602,pre:tok:in,pre,pre:tok,0.0,1,-0.22082087,0.09122672,-0.058322225
4,603,pre:tok:in,pre,pre:tok,0.0,1,-0.026045427,0.037341908,-0.020957783
4,604,((((hyp:tok:marathon AND pre:tok:women) OR hyp:tok:war) OR hyp:tok:spin) AND (NOT pre:tok:is)),((((hyp AND pre) OR hyp) OR hyp) AND (NOT pre)),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)),0.25,6,-0.15538457,-0.040250916,0.11550753
4,605,(hyp:tok:two AND pre:tok:stare),(hyp AND pre),(hyp:tok AND pre:tok),0.3333333333333333,2,0.15203863,-0.050252344,-0.106763594
4,606,((((hyp:tok:shirt OR oth:overlap:overlap75) OR pre:tok:top) OR pre:tok:jersey) OR pre:tok:helmet),((((hyp OR oth) OR pre) OR pre) OR pre),((((hyp:tok OR oth:overlap) OR pre:tok) OR pre:tok) OR pre:tok),0.14937424303593055,5,0.06267645,-0.004551191,-0.05482342
4,607,pre:tok:in,pre,pre:tok,0.0,1,-0.024023855,0.009238716,0.015630635
4,608,pre:tok:in,pre,pre:tok,0.0,1,0.031131066,-0.052180383,0.0037931034
4,609,pre:tok:in,pre,pre:tok,0.0,1,-0.2414618,0.013310414,0.032283403
4,610,pre:tok:in,pre,pre:tok,0.0,1,-0.006609903,-0.0074076457,-0.0037693463
4,611,pre:tok:in,pre,pre:tok,0.0,1,0.0019831755,-0.14698589,0.16104141
4,612,pre:tok:in,pre,pre:tok,0.0,1,0.0066826004,0.0163577,-0.020310108
4,613,pre:tok:in,pre,pre:tok,0.0,1,-0.02232539,0.0029138261,-0.008718355
4,614,pre:tok:in,pre,pre:tok,0.0,1,-0.04521068,0.00014620052,0.067439154
4,615,(((((NOT pre:tok:in) AND hyp:tok:barely) OR hyp:tok:bikers) AND hyp:tok:on) AND (NOT oth:overlap:overlap50)),(((((NOT pre) AND hyp) OR hyp) AND hyp) AND (NOT oth)),(((((NOT pre:tok) AND hyp:tok) OR hyp:tok) AND hyp:tok) AND (NOT oth:overlap)),0.2857142857142857,7,-0.03789494,-0.06341624,0.09139459
4,616,pre:tok:in,pre,pre:tok,0.0,1,0.016381295,-0.02154181,-0.0644106
4,617,pre:tok:in,pre,pre:tok,0.0,1,-0.017006608,0.010823929,-0.0046599596
4,618,((hyp:tok:down AND pre:tok:varying) OR pre:tok:moon),((hyp AND pre) OR pre),((hyp:tok AND pre:tok) OR pre:tok),0.2222222222222222,3,0.13209519,-0.11478279,-0.10899619
4,619,((((hyp:tok:driving OR hyp:tok:sleeping) OR hyp:tok:moon) OR hyp:tok:sleeps) OR hyp:tok:drives),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.13908872901678657,5,0.028157314,0.08757054,-0.11198002
4,620,((((hyp:tok:run OR hyp:tok:shower) OR hyp:tok:rides) AND (NOT pre:tok:in)) OR hyp:tok:jet),((((hyp OR hyp) OR hyp) AND (NOT pre)) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)) OR hyp:tok),0.10784313725490197,6,-0.016208606,-0.067701735,0.05756944
4,621,pre:tok:in,pre,pre:tok,0.0,1,-0.002128914,-0.017202219,0.032516915
4,622,pre:tok:in,pre,pre:tok,0.0,1,0.0198874,0.014639995,-0.037672352
4,623,((((hyp:tok:asleep OR hyp:tok:sleeping) OR hyp:tok:couch) OR hyp:tok:sleeps) OR hyp:tok:laying),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.27386934673366836,5,-0.08587442,-0.009111354,0.047569748
4,624,pre:tok:in,pre,pre:tok,0.0,1,-0.0069293543,-0.015901525,-0.030459791
4,625,pre:tok:in,pre,pre:tok,0.0,1,0.035027966,-0.0137349805,-0.0038427382
4,626,pre:tok:in,pre,pre:tok,0.0,1,0.007859596,-0.011878374,-0.003884206
4,627,pre:tok:in,pre,pre:tok,0.0,1,-0.0026522838,-0.048922442,-0.0010348953
4,628,pre:tok:in,pre,pre:tok,0.0,1,-0.0032103162,0.029214542,-0.021273322
4,629,pre:tok:in,pre,pre:tok,0.0,1,0.09472426,-0.08965366,-0.08163026
4,630,pre:tok:in,pre,pre:tok,0.0,1,0.005708542,0.020325186,0.003565641
4,631,(hyp:tok:duck AND pre:tok:woman),(hyp AND pre),(hyp:tok AND pre:tok),0.25,2,-0.03408601,-0.19652908,0.0883944
4,632,pre:tok:in,pre,pre:tok,0.0,1,-0.08336436,-0.025730778,0.024194844
4,633,pre:tok:in,pre,pre:tok,0.0,1,-0.03340663,-0.009351394,-0.06377046
4,634,pre:tok:in,pre,pre:tok,0.0,1,0.02359591,0.014693047,-0.028345598
4,635,pre:tok:in,pre,pre:tok,0.0,1,0.012060313,-0.020689657,-0.11897991
4,636,((((NOT pre:tok:boy) AND (hyp:tok:are AND hyp:tok:outside)) AND (NOT pre:tok:black)) AND (NOT hyp:tok:on)),((((NOT pre) AND (hyp AND hyp)) AND (NOT pre)) AND (NOT hyp)),((((NOT pre:tok) AND (hyp:tok AND hyp:tok)) AND (NOT pre:tok)) AND (NOT hyp:tok)),0.23178807947019867,8,0.13956171,-0.09069,-0.09363573
4,637,pre:tok:in,pre,pre:tok,0.0,1,-0.021171004,-0.010642389,0.035357308
4,638,pre:tok:in,pre,pre:tok,0.0,1,-0.035456307,0.009088697,-0.016976058
4,639,pre:tok:in,pre,pre:tok,0.0,1,0.006802284,-0.0021243948,0.00021706126
4,640,pre:tok:in,pre,pre:tok,0.0,1,-0.09313818,0.050250635,-0.016976846
4,641,pre:tok:in,pre,pre:tok,0.0,1,-0.15902235,-0.063137226,0.027893748
