NOT hyp:tok:human,0,0,0,0,1,1
NOT hyp:tok:ice,0,0,1,0,0,0
NOT hyp:tok:in,1,0,0,0,0,1
NOT hyp:tok:indoors,0,0,1,1,0,1
NOT hyp:tok:inside,16,24,22,26,34,21
NOT hyp:tok:into,1,1,0,1,1,2
NOT hyp:tok:it,3,1,2,0,0,1
NOT hyp:tok:jumping,0,1,0,1,2,0
NOT hyp:tok:kids,2,0,1,2,3,2
NOT hyp:tok:lady,0,1,1,0,1,5
NOT hyp:tok:lake,0,0,0,0,0,1
NOT hyp:tok:large,0,0,1,0,0,1
NOT hyp:tok:line,0,1,0,1,0,0
NOT hyp:tok:little,1,2,2,0,1,0
NOT hyp:tok:looking,3,3,2,7,2,2
NOT hyp:tok:looks,1,0,0,0,1,0
NOT hyp:tok:making,1,1,2,2,5,0
NOT hyp:tok:male,0,0,0,0,0,1
NOT hyp:tok:man,15,9,10,10,20,13
NOT hyp:tok:men,11,16,19,17,22,17
NOT hyp:tok:mother,0,0,0,1,0,0
NOT hyp:tok:music,1,1,1,0,0,0
NOT hyp:tok:near,22,22,28,11,9,13
NOT hyp:tok:new,0,0,0,0,0,4
NOT hyp:tok:next,0,2,2,2,0,0
NOT hyp:tok:no,0,0,2,0,3,2
NOT hyp:tok:nobody,15,18,23,15,20,24
NOT hyp:tok:not,4,6,6,2,8,12
NOT hyp:tok:ocean,0,1,1,0,1,0
NOT hyp:tok:off,0,0,1,1,0,3
NOT hyp:tok:old,2,6,7,6,6,4
NOT hyp:tok:on,1,0,0,0,1,1
NOT hyp:tok:one,4,6,2,3,0,1
NOT hyp:tok:other,1,2,1,2,1,2
NOT hyp:tok:out,0,0,2,2,1,0
NOT hyp:tok:outdoors,108,105,104,95,107,90
NOT hyp:tok:outside,223,238,195,218,222,194
NOT hyp:tok:over,0,0,2,0,1,0
NOT hyp:tok:painting,0,1,1,1,0,0
NOT hyp:tok:park,11,11,13,13,15,13
NOT hyp:tok:party,0,1,1,0,2,1
NOT hyp:tok:people,6,5,2,2,13,8
NOT hyp:tok:performing,0,0,0,2,3,4
NOT hyp:tok:person,24,21,15,13,24,24
NOT hyp:tok:phone,1,0,2,0,0,0
NOT hyp:tok:picture,8,5,5,7,7,4
NOT hyp:tok:play,0,2,1,0,0,2
NOT hyp:tok:player,1,1,0,1,0,1
NOT hyp:tok:players,1,0,0,0,0,0
NOT hyp:tok:playing,28,31,21,22,28,28
NOT hyp:tok:plays,0,0,1,0,0,0
NOT hyp:tok:pool,5,6,2,4,2,4
NOT hyp:tok:race,7,9,16,12,10,11
NOT hyp:tok:racing,1,0,1,0,0,1
NOT hyp:tok:rain,0,0,1,0,0,0
NOT hyp:tok:reading,1,0,0,0,0,0
NOT hyp:tok:ready,0,0,1,0,0,0
NOT hyp:tok:red,21,25,25,18,22,20
NOT hyp:tok:riding,9,16,9,13,8,13
NOT hyp:tok:road,1,0,0,0,2,0
NOT hyp:tok:room,0,2,2,3,0,1
NOT hyp:tok:running,34,31,19,28,21,18
NOT hyp:tok:selling,0,0,0,0,0,3
NOT hyp:tok:she,1,1,1,0,0,0
NOT hyp:tok:shirt,6,7,2,7,9,8
NOT hyp:tok:sidewalk,0,1,1,2,0,0
NOT hyp:tok:singing,0,1,0,1,0,0
NOT hyp:tok:sits,5,4,2,7,8,4
NOT hyp:tok:sitting,74,76,73,74,80,81
NOT hyp:tok:sleeping,93,79,110,120,86,91
NOT hyp:tok:small,1,0,0,0,1,0
NOT hyp:tok:smiling,2,2,2,2,1,0
NOT hyp:tok:snow,0,1,1,0,2,2
NOT hyp:tok:soccer,4,2,0,2,2,4
NOT hyp:tok:some,5,4,2,4,0,1
NOT hyp:tok:someone,0,0,0,0,4,3
NOT hyp:tok:something,17,12,22,10,12,19
NOT hyp:tok:son,1,0,1,0,0,0
NOT hyp:tok:stage,0,1,1,1,1,0
NOT hyp:tok:stand,0,0,1,0,0,0
NOT hyp:tok:standing,65,49,43,49,53,48
NOT hyp:tok:stands,1,0,1,0,0,0
NOT hyp:tok:store,0,1,0,1,0,0
NOT hyp:tok:street,11,19,18,18,10,13
NOT hyp:tok:swimming,15,26,17,30,28,32
NOT hyp:tok:taking,0,3,1,4,1,4
NOT hyp:tok:talking,10,3,9,7,2,5
NOT hyp:tok:tall,22,23,32,24,16,39
NOT hyp:tok:that,0,0,0,1,0,1
NOT hyp:tok:their,7,7,6,8,6,8
NOT hyp:tok:there,23,19,30,18,26,20
NOT hyp:tok:they,6,3,8,8,3,4
NOT hyp:tok:this,1,0,0,0,0,0
NOT hyp:tok:three,3,0,2,3,2,3
NOT hyp:tok:through,1,1,2,1,0,1
