cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
2,140,(hyp:tok:their AND pre:tok:song),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.089087084,-0.07286757,0.11620908
2,141,pre:tok:in,pre,pre:tok,0.0,1,0.005810221,-0.026972951,-0.011278573
2,142,pre:tok:in,pre,pre:tok,0.0,1,-0.07931034,0.001716795,-0.17360741
2,143,pre:tok:in,pre,pre:tok,0.0,1,-0.008734531,0.037634708,0.022897309
2,144,pre:tok:in,pre,pre:tok,0.0,1,-0.0057619945,-0.021495854,-0.049787506
2,145,pre:tok:in,pre,pre:tok,0.0,1,-0.024638766,-0.0031922143,-0.00596339
2,146,pre:tok:in,pre,pre:tok,0.0,1,-0.024519496,-0.0051470543,0.04366446
2,147,pre:tok:in,pre,pre:tok,0.0,1,0.010566733,0.015339571,0.032468084
2,148,pre:tok:in,pre,pre:tok,0.0,1,-0.02957438,-0.020992396,-0.0046174335
2,149,pre:tok:in,pre,pre:tok,0.0,1,-0.020838039,0.016317807,0.0065414477
2,150,pre:tok:in,pre,pre:tok,0.0,1,-0.18730824,0.052361976,0.04414404
2,151,((((hyp:tok:stroll OR hyp:tok:traffic) AND hyp:tok:in) OR hyp:tok:taxi) AND pre:tok:in),((((hyp OR hyp) AND hyp) OR hyp) AND pre),((((hyp:tok OR hyp:tok) AND hyp:tok) OR hyp:tok) AND pre:tok),0.25,5,-0.14212373,-0.09276647,0.19018063
2,152,pre:tok:in,pre,pre:tok,0.0,1,0.010014768,0.0019077694,-0.014095967
2,153,(hyp:tok:across AND pre:tok:ball),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,0.12117194,-0.07849955,-0.16359091
2,154,pre:tok:in,pre,pre:tok,0.0,1,0.056399014,-0.04195988,-0.029058445
2,155,pre:tok:in,pre,pre:tok,0.0,1,-0.016818479,0.021958226,0.0063853175
2,156,(hyp:tok:woman AND pre:tok:york),(hyp AND pre),(hyp:tok AND pre:tok),0.5,2,-0.14863428,0.11676423,-0.06557625
2,157,((((hyp:tok:computer OR pre:tok:hallway) OR hyp:tok:buy) OR hyp:tok:wooden) AND oth:overlap:overlap25),((((hyp OR pre) OR hyp) OR hyp) AND oth),((((hyp:tok OR pre:tok) OR hyp:tok) OR hyp:tok) AND oth:overlap),0.096,5,-0.057168126,0.06695568,-0.065809764
2,158,pre:tok:in,pre,pre:tok,0.0,1,-0.0044874987,0.0547712,-0.03767643
2,159,pre:tok:in,pre,pre:tok,0.0,1,0.00021119398,0.010514237,-0.017077342
2,160,pre:tok:in,pre,pre:tok,0.0,1,0.016960602,0.04256296,-0.016251069
2,161,pre:tok:in,pre,pre:tok,0.0,1,0.005571336,-0.010668675,-0.02457532
