NOT pre:tok:next,1,1,0,0,0,0
NOT pre:tok:on,5,5,6,4,0,5
NOT pre:tok:one,0,1,0,1,0,1
NOT pre:tok:outdoors,0,0,0,0,0,1
NOT pre:tok:outside,0,0,0,0,0,1
NOT pre:tok:park,1,1,0,1,0,0
NOT pre:tok:people,3,12,9,8,9,10
NOT pre:tok:person,1,1,2,2,2,2
NOT pre:tok:playing,2,3,2,1,1,1
NOT pre:tok:race,1,0,1,1,0,1
NOT pre:tok:red,5,1,3,5,1,6
NOT pre:tok:running,3,2,1,6,2,1
NOT pre:tok:shirt,5,3,4,1,1,4
NOT pre:tok:shorts,0,0,0,0,1,0
NOT pre:tok:sits,0,0,0,0,0,1
NOT pre:tok:sitting,15,24,19,29,22,33
NOT pre:tok:smiling,1,1,0,0,0,0
NOT pre:tok:standing,6,5,4,6,4,10
NOT pre:tok:street,4,3,5,2,0,3
NOT pre:tok:swimming,1,0,0,0,0,0
NOT pre:tok:three,0,0,0,0,0,1
NOT pre:tok:to,17,16,12,15,12,12
NOT pre:tok:track,0,1,0,0,0,0
NOT pre:tok:two,1,2,2,0,0,0
NOT pre:tok:walking,10,5,7,5,3,9
NOT pre:tok:water,1,0,0,0,0,1
NOT pre:tok:wearing,1,0,6,1,4,3
NOT pre:tok:while,6,4,1,3,4,4
NOT pre:tok:white,5,5,3,2,5,5
NOT pre:tok:with,1,3,3,2,1,1
NOT pre:tok:woman,35,35,41,41,39,38
NOT pre:tok:women,1,1,0,0,0,1
NOT pre:tok:young,2,5,5,5,0,4
"hyp:tag:,",0,1,1,2,1,1
hyp:tag:.,5,8,3,9,9,7
hyp:tag:cc,0,1,0,0,0,0
hyp:tag:cd,0,0,0,1,0,0
hyp:tag:dt,6,7,10,9,6,13
hyp:tag:ex,16,16,17,8,18,13
hyp:tag:in,13,16,20,19,17,24
hyp:tag:jj,23,35,32,48,30,34
hyp:tag:jjs,0,0,2,0,0,0
hyp:tag:md,1,0,0,0,0,0
hyp:tag:nn,4,4,15,7,4,7
hyp:tag:nnp,36,32,42,35,40,35
hyp:tag:nns,0,4,1,0,0,0
hyp:tag:pos,0,1,1,0,0,0
hyp:tag:prp,1,3,0,1,3,1
hyp:tag:prp$,18,25,20,25,26,25
hyp:tag:rb,4,0,3,2,2,0
hyp:tag:vb,34,23,30,26,27,28
hyp:tag:vbd,3,6,4,4,3,2
hyp:tag:vbg,9,11,4,10,9,9
hyp:tag:vbn,1,3,1,1,2,1
hyp:tag:vbp,0,1,1,0,0,1
hyp:tag:vbz,1,4,4,4,6,5
hyp:tok:'s,0,0,0,0,0,1
hyp:tok:-,0,0,0,1,0,0
hyp:tok:about,7,12,17,18,17,12
hyp:tok:activity,0,1,1,0,1,1
hyp:tok:after,8,7,7,5,5,7
hyp:tok:air,0,0,0,0,0,1
hyp:tok:all,1,0,1,0,0,0
hyp:tok:alone,34,13,25,27,30,22
hyp:tok:and,1,0,0,0,1,0
hyp:tok:animal,2,0,2,0,2,4
hyp:tok:animals,2,2,2,3,1,2
hyp:tok:are,0,2,2,1,1,5
hyp:tok:around,0,0,1,0,0,0
hyp:tok:as,0,1,1,1,1,0
hyp:tok:asian,0,1,4,0,1,1
hyp:tok:asleep,16,20,20,22,14,18
hyp:tok:at,20,9,15,13,18,15
hyp:tok:away,0,0,0,1,1,0
hyp:tok:baby,1,4,3,2,0,1
hyp:tok:bags,0,0,0,1,0,0
hyp:tok:baking,0,1,0,0,0,0
hyp:tok:bald,0,0,0,0,1,0
hyp:tok:ball,1,3,3,2,3,2
hyp:tok:band,2,0,1,2,0,1
hyp:tok:bar,1,0,2,0,0,0
hyp:tok:baseball,5,1,0,2,5,2
hyp:tok:basketball,2,5,1,3,2,2
hyp:tok:bath,0,0,0,0,0,1
hyp:tok:bathroom,0,0,0,0,2,1
hyp:tok:beach,16,10,7,18,12,13
hyp:tok:because,7,2,3,6,5,4
hyp:tok:bed,1,2,2,1,3,2
hyp:tok:before,2,3,5,0,2,4
hyp:tok:behind,0,0,0,1,0,0
hyp:tok:being,0,0,0,1,2,0
hyp:tok:bench,5,2,1,3,1,0
hyp:tok:bicycle,1,0,1,3,2,1
hyp:tok:bike,13,11,14,16,8,11
hyp:tok:biker,1,0,0,0,0,0
hyp:tok:bikes,1,0,1,1,3,2
hyp:tok:birthday,10,14,3,2,4,6
hyp:tok:black,21,15,13,18,22,22
hyp:tok:blond,1,0,1,0,1,0
hyp:tok:blonde,0,0,0,0,2,0
hyp:tok:blue,14,12,11,16,19,23
hyp:tok:boat,4,2,3,3,1,6
hyp:tok:bottle,0,0,2,1,0,0
hyp:tok:bowling,1,0,0,0,0,0
hyp:tok:boy,4,13,16,12,13,11
hyp:tok:boys,1,2,2,1,1,1
hyp:tok:break,1,2,1,4,3,2
hyp:tok:bridge,1,0,0,0,0,0
hyp:tok:brother,0,0,1,1,0,0
hyp:tok:brothers,0,1,0,0,0,0
hyp:tok:brown,1,3,5,2,2,1
hyp:tok:building,2,0,1,0,0,1
hyp:tok:bus,4,2,3,5,5,1
hyp:tok:busy,0,0,1,0,1,0
hyp:tok:buy,0,1,0,0,0,0
hyp:tok:by,0,1,0,0,0,0
hyp:tok:cafe,0,0,0,1,1,0
hyp:tok:cake,0,1,1,0,1,0
hyp:tok:camera,1,0,0,0,2,0
hyp:tok:car,2,3,4,3,4,2
hyp:tok:carrying,0,1,2,1,1,1
hyp:tok:cat,16,16,19,25,15,20
hyp:tok:catch,0,0,1,0,2,0
hyp:tok:cell,1,0,0,0,0,0
hyp:tok:championship,0,1,0,1,0,0
hyp:tok:chasing,0,8,13,7,6,4
hyp:tok:cheerleaders,0,0,0,1,0,0
hyp:tok:chef,1,0,0,1,1,0
hyp:tok:child,3,4,0,4,6,7
hyp:tok:children,2,0,0,0,1,1
hyp:tok:circus,0,1,0,1,0,0
hyp:tok:city,0,0,1,0,0,0
hyp:tok:class,0,0,0,0,1,1
hyp:tok:cliff,0,0,1,0,0,0
hyp:tok:climbing,0,0,0,0,1,0
hyp:tok:clothes,0,0,1,0,0,0
hyp:tok:coat,0,0,0,0,0,1
hyp:tok:coffee,1,2,3,1,3,1
hyp:tok:cold,2,2,5,1,1,0
hyp:tok:competing,4,2,1,6,7,1
hyp:tok:competition,7,6,6,9,12,8
hyp:tok:concert,13,5,2,5,5,4
hyp:tok:cooking,8,1,2,5,4,4
hyp:tok:couch,8,4,7,3,2,3
hyp:tok:couple,2,7,3,3,0,0
hyp:tok:cow,0,1,0,0,0,0
hyp:tok:cream,0,0,0,0,0,1
hyp:tok:crowd,9,8,7,9,7,12
hyp:tok:crowded,0,0,0,0,1,0
hyp:tok:crying,2,1,0,3,2,0
hyp:tok:dancing,12,9,3,13,4,6
hyp:tok:dark,0,0,0,0,0,1
hyp:tok:daughter,0,0,0,0,1,1
hyp:tok:day,1,2,3,2,1,4
hyp:tok:dead,0,0,0,0,1,1
hyp:tok:desert,1,0,1,1,0,3
hyp:tok:dinner,5,10,5,6,7,9
hyp:tok:dog,12,8,5,6,5,5
hyp:tok:dogs,3,4,5,3,8,4
hyp:tok:doing,5,3,2,5,2,1
hyp:tok:down,0,1,1,2,2,2
hyp:tok:dress,1,0,1,1,0,0
hyp:tok:dressed,0,0,0,0,0,1
hyp:tok:drinking,2,4,2,4,1,0
hyp:tok:drives,0,1,2,1,1,0
hyp:tok:driving,10,20,17,23,14,16
hyp:tok:drums,0,0,0,0,0,1
hyp:tok:during,1,0,0,0,0,0
hyp:tok:eat,1,1,0,0,1,0
hyp:tok:eating,35,30,45,46,33,51
hyp:tok:eats,3,3,1,3,4,1
hyp:tok:elderly,0,1,0,1,0,0
hyp:tok:empty,12,6,6,9,8,5
hyp:tok:enjoying,13,4,9,12,5,6
hyp:tok:event,0,0,0,1,0,0
hyp:tok:falls,0,0,0,0,0,1
hyp:tok:family,0,0,2,1,2,2
hyp:tok:father,1,0,0,0,0,0
hyp:tok:favorite,1,0,0,2,2,1
hyp:tok:festival,0,0,0,0,1,0
hyp:tok:field,1,4,0,5,1,5
hyp:tok:fighting,0,1,2,0,1,1
hyp:tok:fire,0,1,2,3,1,1
hyp:tok:first,4,3,4,3,2,0
hyp:tok:fish,0,0,2,0,0,0
hyp:tok:fishing,2,2,2,1,1,3
hyp:tok:flowers,5,0,1,2,0,1
hyp:tok:food,10,5,7,5,8,5
hyp:tok:football,5,11,11,12,11,8
hyp:tok:for,73,46,67,61,65,51
hyp:tok:forest,0,0,0,1,0,0
hyp:tok:fountain,0,0,0,0,1,0
hyp:tok:friend,1,3,1,2,0,0
hyp:tok:friends,14,4,11,12,10,11
hyp:tok:frisbee,0,1,1,0,0,0
hyp:tok:from,2,3,3,3,1,2
hyp:tok:front,1,0,0,0,1,0
hyp:tok:fun,2,1,0,0,0,0
hyp:tok:funny,6,8,18,6,7,9
hyp:tok:game,6,2,6,4,3,3
hyp:tok:garage,0,0,0,1,0,0
hyp:tok:girl,12,4,10,8,7,9
hyp:tok:girls,1,2,2,3,3,6
hyp:tok:goalie,0,0,0,0,0,1
hyp:tok:going,4,0,0,3,4,2
hyp:tok:grass,4,1,2,1,1,1
hyp:tok:great,1,0,0,0,0,0
hyp:tok:green,3,4,3,6,4,4
hyp:tok:ground,0,0,1,0,0,0
hyp:tok:groups,0,0,0,0,1,0
hyp:tok:guitar,1,2,2,0,0,0
hyp:tok:guy,0,1,0,0,0,2
hyp:tok:hair,0,2,0,1,1,0
hyp:tok:haired,0,0,0,0,1,0
hyp:tok:halloween,0,0,0,0,0,1
hyp:tok:happily,0,3,2,0,3,4
hyp:tok:happy,2,3,1,1,0,1
hyp:tok:has,3,2,3,2,12,6
hyp:tok:hat,0,1,1,0,3,2
hyp:tok:having,3,0,1,2,3,1
hyp:tok:he,0,0,1,1,3,2
hyp:tok:her,5,4,8,5,7,8
hyp:tok:hill,0,0,0,1,0,1
hyp:tok:his,6,7,4,2,5,5
hyp:tok:hockey,0,0,0,1,0,0
hyp:tok:holding,2,2,5,2,5,6
hyp:tok:holds,0,2,5,4,3,3
hyp:tok:home,8,9,5,13,8,4
hyp:tok:homeless,1,1,1,0,2,2
hyp:tok:horse,1,2,4,2,2,0
hyp:tok:hot,0,0,0,1,0,0
hyp:tok:house,1,0,1,1,0,0
hyp:tok:how,0,0,1,0,0,0
hyp:tok:human,54,34,35,31,22,34
hyp:tok:humans,23,5,9,8,9,5
hyp:tok:husband,0,0,0,0,0,2
hyp:tok:ice,1,0,1,0,0,3
hyp:tok:in,5,7,9,8,10,8
