cluster,neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
2,372,pre:tok:in,pre,pre:tok,0.0,1,-0.035080377,-0.02549487,0.021345621
2,373,pre:tok:in,pre,pre:tok,0.0,1,0.08851954,-0.045302074,0.021751031
2,374,pre:tok:in,pre,pre:tok,0.0,1,-0.017029732,-0.008752043,0.024259947
2,375,((((NOT hyp:tok:black) AND (hyp:tok:nobody OR oth:overlap:overlap75)) OR hyp:tok:no) AND (NOT hyp:tok:boy)),((((NOT hyp) AND (hyp OR oth)) OR hyp) AND (NOT hyp)),((((NOT hyp:tok) AND (hyp:tok OR oth:overlap)) OR hyp:tok) AND (NOT hyp:tok)),0.10770975056689343,7,-0.006633075,-0.038335316,0.08920403
2,376,((((hyp:tok:podium OR hyp:tok:tools) AND pre:tok:and) OR pre:tok:raining) AND (NOT hyp:tok:someone)),((((hyp OR hyp) AND pre) OR pre) AND (NOT hyp)),((((hyp:tok OR hyp:tok) AND pre:tok) OR pre:tok) AND (NOT hyp:tok)),0.21428571428571427,6,0.0007233795,-0.028777227,-0.044512797
2,377,((((hyp:tok:standing AND pre:tok:sitting) OR hyp:tok:among) OR hyp:tok:hang) AND (NOT pre:tok:standing)),((((hyp AND pre) OR hyp) OR hyp) AND (NOT pre)),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)),0.13513513513513514,6,-0.09723284,-0.059717126,0.094734125
2,378,((((hyp:tok:white AND pre:tok:brown) OR hyp:tok:apron) OR hyp:tok:tied) AND (NOT oth:overlap:overlap50)),((((hyp AND pre) OR hyp) OR hyp) AND (NOT oth)),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) AND (NOT oth:overlap)),0.16129032258064516,6,-0.04267779,-0.071643114,0.047284134
2,379,pre:tok:in,pre,pre:tok,0.0,1,-0.024195539,-0.0034718902,-0.032489195
2,380,((((hyp:tok:holding OR hyp:tok:wearing) OR pre:tok:leaning) OR hyp:tok:wears) AND (NOT hyp:tok:two)),((((hyp OR hyp) OR pre) OR hyp) AND (NOT hyp)),((((hyp:tok OR hyp:tok) OR pre:tok) OR hyp:tok) AND (NOT hyp:tok)),0.07670850767085077,6,-0.009416558,-0.03922396,0.04674379
2,381,pre:tok:in,pre,pre:tok,0.0,1,-0.028680257,0.09751536,-0.06368353
