,lost_concepts
342,hyp:tok:throws
343,hyp:tok:helmet
344,hyp:tok:denim
345,hyp:tok:knitting
346,pre:tok:crane
347,hyp:tok:shade
348,hyp:tok:caught
349,hyp:tok:museum
350,hyp:tok:space
351,hyp:tok:guys
352,pre:tok:gathering
353,hyp:tok:pants
354,hyp:tok:chess
355,hyp:tok:groceries
356,hyp:tok:skirts
357,hyp:tok:shoe
358,hyp:tok:waters
359,pre:tok:rink
360,pre:tok:similar
361,hyp:tok:looks
362,pre:tok:motor
363,hyp:tok:cricket
364,hyp:tok:airport
365,pre:tok:angry
366,pre:tok:pots
367,hyp:tok:gesturing
368,pre:tok:tie
369,pre:tok:slope
370,pre:tok:tunnel
371,pre:tok:wig
372,hyp:tok:indoors
373,hyp:tok:boat
374,pre:tok:transportation
375,hyp:tok:hardware
376,hyp:tok:greyhound
377,hyp:tok:concert
378,hyp:tok:wooden
379,hyp:tok:slam
380,pre:tok:instruments
381,pre:tok:grocery
382,hyp:tok:night
383,pre:tok:pet
384,pre:tok:word
385,pre:tok:table
386,pre:tok:rest
387,hyp:tok:jump
388,hyp:tok:object
389,hyp:tok:ft
390,pre:tok:golfer
391,hyp:tok:duck
392,pre:tok:reads
393,pre:tok:rowing
394,pre:tok:this
395,hyp:tok:robes
396,pre:tok:karate
397,pre:tok:numbers
398,hyp:tok:fire
399,pre:tok:pavement
400,hyp:tok:pocket
401,hyp:tok:buildings
402,hyp:tok:face
403,hyp:tok:roller
404,hyp:tok:pushing
405,hyp:tok:pitcher
406,hyp:tok:lunch
407,pre:tok:items
408,hyp:tok:maroon
409,hyp:tok:kitchen
410,pre:tok:him
411,pre:tok:kids
412,pre:tok:hikers
413,pre:tok:chef
414,hyp:tok:during
415,pre:tok:numbered
416,hyp:tok:they
417,pre:tok:match
418,pre:tok:native
419,hyp:tok:step
420,hyp:tok:photographs
421,hyp:tok:snowball
422,pre:tok:ready
423,hyp:tok:backpack
424,pre:tok:toddler
425,hyp:tok:popsicle
426,hyp:tok:robe
427,hyp:tok:clouds
428,pre:tok:tools
429,pre:tok:rainy
430,hyp:tok:team
431,hyp:tok:white
432,pre:tok:someone
433,hyp:tok:cardboard
